orders.brand,orders.country,orders.delivery_week,orders.dishbags,orders.product_type,orders.count_all_orders
dn,au,2022-03-07,4.0000,family,1
dn,au,2022-02-28,4.0000,family,1
dn,au,2022-02-21,4.0000,family,1
dn,au,2022-02-21,6.0000,2 person,1
dn,us,2022-02-14,5.0000,family,1
ms,us,2022-02-14,2.0000,family,1
dn,de,2022-02-14,3.0000,2 person,1
ms,se,2022-02-07,4.0000,family,88
ms,se,2022-02-07,6.0000,2 person,4
ms,nl,2022-02-07,2.0000,2 person,156
ms,de,2022-02-07,3.0000,family,441
ms,au,2022-02-07,3.0000,family,2533
ms,au,2022-02-07,4.0000,2 person,3789
ms,dk,2022-02-07,2.0000,2 person,9
ms,dk,2022-02-07,4.0000,2 person,83
ms,de,2022-02-07,2.0000,family,352
ms,us,2022-02-07,2.0000,family,2886
ms,be,2022-02-07,3.0000,family,166
ms,at,2022-02-07,2.0000,2 person,54
ms,au,2022-02-07,4.0000,family,1374
dn,au,2022-02-07,5.0000,2 person,2106
dn,de,2022-02-07,3.0000,2 person,1366
ms,au,2022-02-07,2.0000,family,1209
ms,nl,2022-02-07,2.0000,family,193
ms,au,2022-02-07,5.0000,family,593
ms,us,2022-02-07,4.0000,family,913
dn,de,2022-02-07,4.0000,2 person,484
dn,de,2022-02-07,3.0000,family,295
ms,be,2022-02-07,5.0000,2 person,74
ms,dk,2022-02-07,4.0000,family,42
ms,dk,2022-02-07,2.0000,family,21
dn,au,2022-02-07,4.0000,2 person,2888
dn,au,2022-02-07,3.0000,family,2610
ms,au,2022-02-07,2.0000,2 person,2952
ms,at,2022-02-07,2.0000,family,26
ms,nl,2022-02-07,6.0000,2 person,50
dn,us,2022-02-07,5.0000,2 person,1496
ms,dk,2022-02-07,3.0000,family,86
dn,nl,2022-02-07,5.0000,family,39
ms,be,2022-02-07,2.0000,2 person,66
ms,se,2022-02-07,3.0000,2 person,122
ms,nl,2022-02-07,3.0000,2 person,3118
ms,us,2022-02-07,5.0000,family,237
ms,nl,2022-02-07,4.0000,family,161
ms,be,2022-02-07,4.0000,2 person,311
dn,us,2022-02-07,6.0000,family,802
ms,be,2022-02-07,2.0000,family,90
dn,us,2022-02-07,4.0000,family,1490
ms,nl,2022-02-07,3.0000,family,445
ms,be,2022-02-07,4.0000,family,72
ms,at,2022-02-07,5.0000,2 person,67
dn,au,2022-02-07,5.0000,family,788
ms,at,2022-02-07,4.0000,2 person,130
ms,us,2022-02-07,6.0000,family,123
ms,de,2022-02-07,6.0000,2 person,136
ms,se,2022-02-07,2.0000,family,10
dn,de,2022-02-07,4.0000,family,95
dn,nl,2022-02-07,4.0000,2 person,109
ms,se,2022-02-07,2.0000,2 person,3
ms,dk,2022-02-07,3.0000,2 person,235
ms,dk,2022-02-07,5.0000,2 person,24
dn,nl,2022-02-07,5.0000,2 person,63
dn,us,2022-02-07,5.0000,family,661
dn,us,2022-02-07,6.0000,2 person,1271
ms,de,2022-02-07,4.0000,family,394
ms,de,2022-02-07,4.0000,2 person,1132
ms,de,2022-02-07,5.0000,2 person,412
ms,us,2022-02-07,5.0000,2 person,869
ms,be,2022-02-07,3.0000,2 person,1090
ms,at,2022-02-07,4.0000,family,34
ms,nl,2022-02-07,4.0000,2 person,714
ms,se,2022-02-07,4.0000,2 person,65
ms,au,2022-02-07,5.0000,2 person,1741
ms,au,2022-02-07,6.0000,2 person,257
ms,se,2022-02-07,5.0000,2 person,28
ms,nl,2022-02-07,5.0000,2 person,148
ms,dk,2022-02-07,6.0000,2 person,3
dn,au,2022-02-07,6.0000,family,702
ms,at,2022-02-07,3.0000,2 person,439
ms,at,2022-02-07,6.0000,2 person,22
dn,de,2022-02-07,5.0000,2 person,478
dn,nl,2022-02-07,3.0000,family,49
dn,au,2022-02-07,3.0000,2 person,6155
ms,us,2022-02-07,4.0000,2 person,3223
dn,de,2022-02-07,5.0000,family,132
dn,nl,2022-02-07,4.0000,family,23
ms,au,2022-02-07,3.0000,2 person,9266
dn,au,2022-02-07,6.0000,2 person,859
ms,at,2022-02-07,3.0000,family,37
ms,us,2022-02-07,2.0000,2 person,6135
ms,se,2022-02-07,3.0000,family,115
ms,de,2022-02-07,2.0000,2 person,468
ms,us,2022-02-07,3.0000,family,2495
dn,au,2022-02-07,4.0000,family,1468
dn,us,2022-02-07,4.0000,2 person,3526
ms,us,2022-02-07,6.0000,2 person,564
dn,nl,2022-02-07,3.0000,2 person,279
ms,be,2022-02-07,6.0000,2 person,22
ms,us,2022-02-07,3.0000,2 person,10920
dn,us,2022-02-07,3.0000,family,4501
ms,de,2022-02-07,3.0000,2 person,3331
dn,us,2022-02-07,3.0000,2 person,11557
ms,au,2022-01-31,2.0000,2 person,3813
ms,dk,2022-01-31,5.0000,2 person,41
ms,dk,2022-01-31,2.0000,2 person,4
dn,us,2022-01-31,3.0000,2 person,16516
dn,us,2022-01-31,5.0000,family,1008
dn,us,2022-01-31,6.0000,family,1134
ms,at,2022-01-31,3.0000,2 person,669
ms,be,2022-01-31,4.0000,2 person,480
ms,au,2022-01-31,5.0000,family,907
ms,us,2022-01-31,4.0000,family,1255
dn,us,2022-01-31,6.0000,2 person,1865
ms,at,2022-01-31,3.0000,family,69
dn,de,2022-01-31,4.0000,2 person,552
ms,at,2022-01-31,4.0000,family,55
dn,de,2022-01-31,4.0000,family,118
ms,us,2022-01-31,2.0000,family,4018
ms,at,2022-01-31,2.0000,family,53
dn,au,2022-01-31,4.0000,2 person,4210
dn,de,2022-01-31,5.0000,family,157
ms,nl,2022-01-31,3.0000,family,917
ms,au,2022-01-31,3.0000,family,3154
ms,us,2022-01-31,6.0000,2 person,741
ms,nl,2022-01-31,6.0000,2 person,119
ms,au,2022-01-31,2.0000,family,1484
dn,au,2022-01-31,6.0000,2 person,1385
ms,us,2022-01-31,4.0000,2 person,4483
dn,us,2022-01-31,4.0000,family,2035
dn,nl,2022-01-31,4.0000,2 person,160
dn,us,2022-01-31,5.0000,2 person,2164
ms,se,2022-01-31,6.0000,2 person,5
ms,de,2022-01-31,3.0000,2 person,5414
ms,nl,2022-01-31,5.0000,2 person,336
dn,nl,2022-01-31,3.0000,family,76
ms,be,2022-01-31,3.0000,family,247
ms,at,2022-01-31,5.0000,2 person,77
ms,se,2022-01-31,4.0000,family,153
ms,se,2022-01-31,2.0000,family,28
ms,dk,2022-01-31,4.0000,family,71
dn,nl,2022-01-31,3.0000,2 person,449
ms,be,2022-01-31,6.0000,2 person,39
dn,au,2022-01-31,4.0000,family,2174
dn,au,2022-01-31,3.0000,2 person,8675
ms,de,2022-01-31,5.0000,2 person,591
dn,au,2022-01-31,6.0000,family,1041
ms,au,2022-01-31,6.0000,2 person,446
ms,de,2022-01-31,2.0000,family,639
ms,nl,2022-01-31,2.0000,2 person,286
ms,be,2022-01-31,2.0000,2 person,113
ms,se,2022-01-31,2.0000,2 person,8
ms,nl,2022-01-31,2.0000,family,408
ms,us,2022-01-31,3.0000,2 person,15456
ms,de,2022-01-31,4.0000,family,549
ms,be,2022-01-31,5.0000,2 person,121
ms,dk,2022-01-31,2.0000,family,22
ms,dk,2022-01-31,6.0000,2 person,7
ms,nl,2022-01-31,4.0000,2 person,1397
dn,us,2022-01-31,4.0000,2 person,4983
dn,de,2022-01-31,3.0000,2 person,1544
ms,be,2022-01-31,3.0000,2 person,1584
